age,gender,height,weight,activity_level,bmi,target_calories,resting_heart_rate,weight_goal,timestamp
40.960569836134795,Male,176.3,60.3,Moderately Active,19.39,2226.0,66.0,Maintain Weight,2024-02-11 13:21:36.237699000
33.340828385945784,Female,166.4,51.2,Sedentary,18.48,1639.0,87.0,Gain Weight,2024-02-11 22:07:43.805266567
42.77226245720831,Male,170.4,83.7,Sedentary,28.85,2112.0,80.0,Lose Weight,2024-02-12 06:53:51.372834135
53.2763582768963,Female,164.0,49.7,Sedentary,18.47,1480.0,84.0,Gain Weight,2024-02-12 15:39:58.940401702
32.19015950331997,Male,178.0,70.5,Very Active,22.26,2979.0,55.0,Maintain Weight,2024-02-13 00:26:06.507969270
32.19035651660983,Male,175.1,77.6,Moderately Active,25.31,2611.0,60.0,Lose Weight,2024-02-13 09:12:14.075536837
53.9505537860887,Male,170.5,77.7,Sedentary,26.74,1931.0,81.0,Lose Weight,2024-02-13 17:58:21.643104405
44.20921674983491,Male,178.4,88.2,Sedentary,27.7,2138.0,77.0,Lose Weight,2024-02-14 02:44:29.210671972
29.366307368780575,Female,163.9,72.2,Sedentary,26.89,1873.0,85.0,Lose Weight,2024-02-14 11:30:36.778239540
41.51072052303158,Male,187.6,98.0,Moderately Active,27.84,2773.0,69.0,Lose Weight,2024-02-14 20:16:44.345807108
29.438987686250453,Female,164.8,57.4,Moderately Active,21.14,1772.0,71.0,Maintain Weight,2024-02-15 05:02:51.913374675
29.41124295715692,Male,173.7,70.2,Sedentary,23.29,2049.0,67.0,Lose Weight,2024-02-15 13:48:59.480942243
37.90354725879241,Male,180.0,74.3,Sedentary,22.91,2025.0,95.0,Maintain Weight,2024-02-15 22:35:07.048509810
18.0,Male,165.9,80.7,Sedentary,29.32,2084.0,79.0,Lose Weight,2024-02-16 07:21:14.616077378
18.0,Female,152.8,62.3,Moderately Active,26.7,2208.0,75.0,Lose Weight,2024-02-16 16:07:22.183644945
