Timestamp (IST),Steps,Total Day Steps,HR,BP Systolic,BP Diastolic,SpO2 (%),Sleep Stage,Activity Level,Date
05-01-2025 00:00,7,10621,74,115.4,78.9,97,Awake,Sedentary,05-01-2025
05-01-2025 00:05,19,10621,64,124.5,76.8,96.7,Awake,Sedentary,05-01-2025
05-01-2025 00:10,16,10621,72,119.6,80.5,98.4,Awake,Sedentary,05-01-2025
05-01-2025 00:15,19,10621,73,118.1,80,96.9,Awake,Sedentary,05-01-2025
05-01-2025 00:20,0,10621,67,107.8,73.3,95.4,Light Sleep,None,05-01-2025
05-01-2025 00:25,0,10621,64,108.8,73.3,95.2,Light Sleep,None,05-01-2025
05-01-2025 00:30,0,10621,70,118.5,72,94.7,REM Sleep,None,05-01-2025
05-01-2025 00:35,0,10621,71,123.6,75,94.8,REM Sleep,None,05-01-2025
05-01-2025 00:40,0,10621,57,120.8,61.4,96.4,Light Sleep,None,05-01-2025
05-01-2025 00:45,0,10621,69,106.7,68.1,96.7,Light Sleep,None,05-01-2025
05-01-2025 00:50,0,10621,60,112.6,71.4,96.9,Light Sleep,None,05-01-2025
05-01-2025 00:55,0,10621,69,105.5,67.7,95.3,Light Sleep,None,05-01-2025
05-01-2025 01:00,0,10621,76,111.2,72.9,97.7,REM Sleep,None,05-01-2025
05-01-2025 01:05,0,10621,69,116.5,77.1,96.6,REM Sleep,None,05-01-2025
05-01-2025 01:10,76,10621,99,129.6,84.4,96.9,Awake,Jogging,05-01-2025
05-01-2025 01:15,79,10621,68,127.7,89,96.2,Awake,Walking,05-01-2025
05-01-2025 01:20,62,10621,79,123.7,84.9,98.7,Awake,Walking,05-01-2025
05-01-2025 01:25,22,10621,91,119.9,79.7,96.8,Awake,Sedentary,05-01-2025
05-01-2025 01:30,117,10621,86,121.3,86.8,95.6,Awake,Jogging,05-01-2025
05-01-2025 01:35,32,10621,84,121.5,79.3,97.1,Awake,Sedentary,05-01-2025
05-01-2025 01:40,14,10621,80,116,81.2,96,Awake,Sedentary,05-01-2025
05-01-2025 01:45,0,10621,65,113.5,70.3,97.8,Light Sleep,None,05-01-2025
05-01-2025 01:50,0,10621,64,113.8,74.2,95.2,Light Sleep,None,05-01-2025
05-01-2025 01:55,0,10621,65,108.4,71.7,96.3,Light Sleep,None,05-01-2025
05-01-2025 02:00,0,10621,61,115,70.1,96.7,Light Sleep,None,05-01-2025
05-01-2025 02:05,0,10621,71,110.5,73.5,98.2,Light Sleep,None,05-01-2025
05-01-2025 02:10,0,10621,61,110.4,68.9,94.9,Light Sleep,None,05-01-2025
05-01-2025 02:15,0,10621,57,109.4,67,96.4,Light Sleep,None,05-01-2025
05-01-2025 02:20,0,10621,65,105.8,69.8,95.2,Light Sleep,None,05-01-2025
05-01-2025 02:25,0,10621,57,116.2,69.8,95.2,Light Sleep,None,05-01-2025
05-01-2025 02:30,0,10621,63,117.4,66.6,94.6,Light Sleep,None,05-01-2025
05-01-2025 02:35,0,10621,67,103.8,69.3,94.9,Light Sleep,None,05-01-2025
05-01-2025 02:40,0,10621,67,118.9,70.6,96,Light Sleep,None,05-01-2025
05-01-2025 02:45,0,10621,66,109.6,72.3,95.8,Light Sleep,None,05-01-2025
05-01-2025 02:50,0,10621,64,111.2,73.3,94.4,Light Sleep,None,05-01-2025
05-01-2025 02:55,0,10621,58,96.8,65.3,95,Deep Sleep,None,05-01-2025
05-01-2025 03:00,0,10621,54,92.7,65.2,94.9,Deep Sleep,None,05-01-2025
05-01-2025 03:05,0,10621,49,100.8,61.3,94.8,Deep Sleep,None,05-01-2025
05-01-2025 03:10,0,10621,55,98.9,70.7,95.3,Deep Sleep,None,05-01-2025
05-01-2025 03:15,0,10621,61,96.6,66.4,94.4,Deep Sleep,None,05-01-2025
05-01-2025 03:20,0,10621,56,110.5,70.3,95.9,Light Sleep,None,05-01-2025
05-01-2025 03:25,0,10621,65,100.7,73.1,96.8,Light Sleep,None,05-01-2025
05-01-2025 03:30,0,10621,66,117.6,69.6,96,Light Sleep,None,05-01-2025
05-01-2025 03:35,19,10621,74,117.3,81.9,96.7,Awake,Sedentary,05-01-2025
05-01-2025 03:40,80,10621,94,132.1,79,97,Awake,Walking,05-01-2025
05-01-2025 03:45,0,10621,59,112.4,74.2,95.9,Light Sleep,None,05-01-2025
05-01-2025 03:50,0,10621,63,105.4,69,96.4,Light Sleep,None,05-01-2025
05-01-2025 03:55,0,10621,63,113.9,73,96.5,Light Sleep,None,05-01-2025
05-01-2025 04:00,0,10621,54,103.9,61.9,95.2,Deep Sleep,None,05-01-2025
05-01-2025 04:05,19,10621,85,117.6,85.7,96.8,Awake,Sedentary,05-01-2025
05-01-2025 04:10,30,10621,97,129.8,82,95.5,Awake,Sedentary,05-01-2025
05-01-2025 04:15,0,10621,64,111.6,65.3,97.3,Light Sleep,None,05-01-2025
05-01-2025 04:20,0,10621,57,90.2,72,95,Deep Sleep,None,05-01-2025
05-01-2025 04:25,0,10621,49,97.9,61.6,94.7,Deep Sleep,None,05-01-2025
05-01-2025 04:30,0,10621,49,98.5,63.6,95.6,Deep Sleep,None,05-01-2025
05-01-2025 04:35,17,10621,66,120.8,81.6,97.7,Awake,Sedentary,05-01-2025
05-01-2025 04:40,0,10621,51,107.6,72,95,Light Sleep,None,05-01-2025
05-01-2025 04:45,53,10621,63,123.9,77.1,96.7,Awake,Walking,05-01-2025
05-01-2025 04:50,11,10621,74,124.6,82.7,96.1,Awake,Sedentary,05-01-2025
05-01-2025 04:55,7,10621,48,121.2,82,97.9,Awake,Sedentary,05-01-2025
05-01-2025 05:00,97,10621,75,127.5,88.5,97.2,Awake,Jogging,05-01-2025
05-01-2025 05:05,37,10621,101,115.3,79.3,98.9,Awake,Sedentary,05-01-2025
05-01-2025 05:10,0,10621,67,110.6,70,98.1,Light Sleep,None,05-01-2025
05-01-2025 05:15,0,10621,64,107.6,72.3,96.5,Light Sleep,None,05-01-2025
05-01-2025 05:20,0,10621,51,84.9,64.9,92.1,Deep Sleep,None,05-01-2025
05-01-2025 05:25,0,10621,49,103.2,63.6,94.6,Deep Sleep,None,05-01-2025
05-01-2025 05:30,0,10621,56,101.5,69.2,94.5,Deep Sleep,None,05-01-2025
05-01-2025 05:35,0,10621,64,95.7,64.4,95.6,Deep Sleep,None,05-01-2025
05-01-2025 05:40,0,10621,55,102.9,62.9,96.6,Deep Sleep,None,05-01-2025
05-01-2025 05:45,0,10621,56,94.5,67.9,95.4,Deep Sleep,None,05-01-2025
05-01-2025 05:50,0,10621,70,115.8,76.9,96.8,REM Sleep,None,05-01-2025
05-01-2025 05:55,0,10621,78,112,71.6,95.3,REM Sleep,None,05-01-2025
05-01-2025 06:00,35,10621,106,122,75.9,96.9,Awake,Sedentary,05-01-2025
05-01-2025 06:05,15,10621,67,112.3,84.8,97.3,Awake,Sedentary,05-01-2025
05-01-2025 06:10,67,10621,74,127.1,80.4,96.6,Awake,Walking,05-01-2025
05-01-2025 06:15,80,10621,103,130.4,78.8,95.7,Awake,Walking,05-01-2025
05-01-2025 06:20,18,10621,66,121,87.6,97,Awake,Sedentary,05-01-2025
05-01-2025 06:25,5,10621,87,125.5,81.8,98.4,Awake,Sedentary,05-01-2025
05-01-2025 06:30,75,10621,86,119,85.8,98,Awake,Walking,05-01-2025
05-01-2025 06:35,35,10621,60,122.7,77.2,96.6,Awake,Sedentary,05-01-2025
05-01-2025 06:40,0,10621,62,127.6,83.6,96.3,Awake,Sedentary,05-01-2025
05-01-2025 06:45,37,10621,73,115,80.5,99,Awake,Sedentary,05-01-2025
05-01-2025 06:50,13,10621,74,118.7,74.6,97.1,Awake,Sedentary,05-01-2025
05-01-2025 06:55,15,10621,64,126.8,80.2,96.3,Awake,Sedentary,05-01-2025
05-01-2025 07:00,84,10621,92,126.8,81,97.3,Awake,Walking,05-01-2025
05-01-2025 07:05,32,10621,65,127.2,83.2,96.7,Awake,Sedentary,05-01-2025
05-01-2025 07:10,27,10621,68,120.6,81.9,97.7,Awake,Sedentary,05-01-2025
05-01-2025 07:15,67,10621,74,121.5,85.7,97,Awake,Jogging,05-01-2025
05-01-2025 07:20,80,10621,90,123.1,85,98.1,Awake,Walking,05-01-2025
05-01-2025 07:25,12,10621,80,131.1,81.4,95.8,Awake,Sedentary,05-01-2025
05-01-2025 07:30,33,10621,104,127.7,82.3,96.6,Awake,Sedentary,05-01-2025
05-01-2025 07:35,26,10621,79,125.6,85.4,96.1,Awake,Sedentary,05-01-2025
05-01-2025 07:40,14,10621,98,118,80.7,98.8,Awake,Sedentary,05-01-2025
05-01-2025 07:45,63,10621,63,130.9,86.8,97.9,Awake,Walking,05-01-2025
05-01-2025 07:50,33,10621,89,132.6,80.4,97.2,Awake,Sedentary,05-01-2025
05-01-2025 07:55,61,10621,97,132,81.9,98.7,Awake,Walking,05-01-2025
05-01-2025 08:00,34,10621,87,121.1,83.5,96.5,Awake,Sedentary,05-01-2025
05-01-2025 08:05,24,10621,60,116,81,98.9,Awake,Sedentary,05-01-2025
05-01-2025 08:10,17,10621,73,121.6,84.6,96.3,Awake,Sedentary,05-01-2025
05-01-2025 08:15,40,10621,96,128.5,80.2,98.1,Awake,Sedentary,05-01-2025
05-01-2025 08:20,22,10621,54,123.5,77.4,96.1,Awake,Sedentary,05-01-2025
05-01-2025 08:25,25,10621,68,124.4,82,95.6,Awake,Sedentary,05-01-2025
05-01-2025 08:30,57,10621,73,112.7,79.5,97.4,Awake,Walking,05-01-2025
05-01-2025 08:35,34,10621,54,119.2,83.8,98.5,Awake,Sedentary,05-01-2025
05-01-2025 08:40,80,10621,84,128.7,84.3,97.3,Awake,Walking,05-01-2025
05-01-2025 08:45,9,10621,72,121.1,81.9,99,Awake,Sedentary,05-01-2025
05-01-2025 08:50,29,10621,88,111.2,84.1,96.7,Awake,Sedentary,05-01-2025
05-01-2025 08:55,19,10621,62,118.5,73.3,98.1,Awake,Sedentary,05-01-2025
05-01-2025 09:00,26,10621,79,114.8,84,96.8,Awake,Sedentary,05-01-2025
05-01-2025 09:05,44,10621,90,123.2,85.2,96.1,Awake,Sedentary,05-01-2025
05-01-2025 09:10,17,10621,84,116.4,80,94.6,Awake,Sedentary,05-01-2025
05-01-2025 09:15,28,10621,66,117.6,78,97.3,Awake,Sedentary,05-01-2025
05-01-2025 09:20,131,10621,99,128.4,80.6,95.7,Awake,Jogging,05-01-2025
05-01-2025 09:25,29,10621,88,118.9,83,96.2,Awake,Sedentary,05-01-2025
05-01-2025 09:30,24,10621,104,124.2,79.1,96.6,Awake,Sedentary,05-01-2025
05-01-2025 09:35,17,10621,57,120.6,80.1,96.5,Awake,Sedentary,05-01-2025
05-01-2025 09:40,34,10621,64,118.8,85.7,97.3,Awake,Sedentary,05-01-2025
05-01-2025 09:45,25,10621,86,124.5,76.1,97.3,Awake,Sedentary,05-01-2025
05-01-2025 09:50,35,10621,94,125,84.5,95.9,Awake,Walking,05-01-2025
05-01-2025 09:55,85,10621,76,128.5,83.5,96.8,Awake,Walking,05-01-2025
05-01-2025 10:00,17,10621,48,121,82,96.5,Awake,Sedentary,05-01-2025
05-01-2025 10:05,19,10621,71,125.3,75,97.4,Awake,Sedentary,05-01-2025
05-01-2025 10:10,58,10621,60,126.8,77.4,95.3,Awake,Walking,05-01-2025
05-01-2025 10:15,112,10621,75,131.9,87.2,96.7,Awake,Jogging,05-01-2025
05-01-2025 10:20,16,10621,58,129.5,81.3,96.6,Awake,Sedentary,05-01-2025
05-01-2025 10:25,91,10621,99,125.1,84.4,97.1,Awake,Walking,05-01-2025
05-01-2025 10:30,10,10621,55,121,83.8,97.5,Awake,Sedentary,05-01-2025
05-01-2025 10:35,31,10621,53,118.3,80.1,95.2,Awake,Sedentary,05-01-2025
05-01-2025 10:40,32,10621,71,121.3,83.8,96.2,Awake,Sedentary,05-01-2025
05-01-2025 10:45,40,10621,83,126.8,83.3,95.2,Awake,Sedentary,05-01-2025
05-01-2025 10:50,21,10621,100,121.1,79.7,97.4,Awake,Sedentary,05-01-2025
05-01-2025 10:55,4,10621,88,119.8,83.7,97.5,Awake,Sedentary,05-01-2025
05-01-2025 11:00,21,10621,58,117.7,82.4,96.3,Awake,Sedentary,05-01-2025
05-01-2025 11:05,13,10621,78,118.8,87.2,96.9,Awake,Sedentary,05-01-2025
05-01-2025 11:10,76,10621,90,127,76.8,95.5,Awake,Jogging,05-01-2025
05-01-2025 11:15,24,10621,72,124.5,82.8,96.9,Awake,Sedentary,05-01-2025
05-01-2025 11:20,25,10621,73,139.1,78.6,96.7,Awake,Sedentary,05-01-2025
05-01-2025 11:25,19,10621,72,110,85.8,98.8,Awake,Sedentary,05-01-2025
05-01-2025 11:30,27,10621,63,124.9,82.5,96.7,Awake,Sedentary,05-01-2025
05-01-2025 11:35,17,10621,60,126.2,84.5,97.4,Awake,Sedentary,05-01-2025
05-01-2025 11:40,4,10621,80,116,83.5,97.2,Awake,Sedentary,05-01-2025
05-01-2025 11:45,43,10621,85,126.8,85.6,96.9,Awake,Walking,05-01-2025
05-01-2025 11:50,10,10621,84,121.3,79.1,96.4,Awake,Sedentary,05-01-2025
05-01-2025 11:55,28,10621,73,121.9,81.1,98.3,Awake,Sedentary,05-01-2025
05-01-2025 12:00,97,10621,91,129.5,82.5,96.8,Awake,Walking,05-01-2025
05-01-2025 12:05,74,10621,50,123.6,84.6,98.2,Awake,Walking,05-01-2025
05-01-2025 12:10,3,10621,87,120.3,79.2,95.3,Awake,Sedentary,05-01-2025
05-01-2025 12:15,68,10621,47,122.2,85.1,97.9,Awake,Walking,05-01-2025
05-01-2025 12:20,23,10621,104,121,78.2,96.3,Awake,Sedentary,05-01-2025
05-01-2025 12:25,11,10621,85,123,80.8,96.6,Awake,Sedentary,05-01-2025
05-01-2025 12:30,44,10621,61,120.3,85.4,97.3,Awake,Sedentary,05-01-2025
05-01-2025 12:35,25,10621,96,115.8,82.2,97.7,Awake,Sedentary,05-01-2025
05-01-2025 12:40,28,10621,79,121.3,79.1,97.3,Awake,Sedentary,05-01-2025
05-01-2025 12:45,64,10621,79,121.7,83.2,96,Awake,Walking,05-01-2025
05-01-2025 12:50,83,10621,98,121,78.8,96.8,Awake,Walking,05-01-2025
05-01-2025 12:55,63,10621,101,118.8,80.4,96.9,Awake,Walking,05-01-2025
